Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
127,Turkey,28.31,6.63,18.15,22.64,18.4,32.88
85,Nepal,28.29,3.96,16.89,26.45,20.41,22.96
126,Tunisia,27.87,5.32,17.3,27.36,15.96,27.83
134,Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37
67,Kosovo (Disputed Territory),27.05,8.04,18.14,24.84,19.53,43.86
3,Algeria,26.87,4.59,16.43,28.82,14.48,24.63
27,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
53,India,24.43,5.3,15.47,26.43,17.56,49.72
1,Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04
93,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63
