City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Country,Lat,Lng
Honolulu,103.65,65.07,85.56,114.92,94.28,89.24,United States,21.3098845,-157.8581401
New York,100.0,100.0,100.0,100.0,100.0,100.0,United States,40.7127753,-74.0059728
Santa Barbara,95.01,78.42,87.23,99.53,99.41,93.86,United States,34.4208305,-119.6981901
Berkeley,94.36,88.22,91.48,106.23,78.85,85.78,United States,37.8715226,-122.273042
San Francisco,93.91,108.42,100.72,97.05,93.4,133.16,United States,37.7749295,-122.4194155
Oakland,92.93,87.79,90.52,98.46,78.71,111.73,United States,37.8043514,-122.2711639
Anchorage,91.23,39.29,66.88,97.95,78.76,118.63,United States,61.2175758,-149.8996785
Santa Clara,89.41,90.39,89.87,100.63,73.46,155.41,United States,37.3541079,-121.9552356
Seattle,88.52,65.84,77.89,87.34,93.09,145.39,United States,47.6062095,-122.3320708
London,85.62,76.51,81.35,64.08,89.41,88.79,United Kingdom,51.5072178,-0.1275862
Tokyo,85.61,42.71,65.5,94.94,52.26,88.58,Japan,35.6761919,139.6503106
Boston,85.47,78.26,82.09,85.4,90.86,115.72,United States,42.3600825,-71.0588801
Nice,84.6,36.1,61.87,83.37,87.59,64.22,France,43.7101728,7.261953200000001
Paris,84.35,48.79,67.68,83.65,81.64,80.2,France,48.856614,2.3522219
Queens,84.02,69.36,77.15,79.19,83.16,105.72,United States,40.7282239,-73.7948516
Washington,83.74,73.47,78.93,83.86,82.36,121.83,United States,47.7510741,-120.7401386
Pittsburgh,82.36,39.14,62.1,89.37,68.36,115.5,United States,40.44062479999999,-79.9958864
Jersey City,80.79,63.0,72.45,81.67,73.28,155.89,United States,40.7177545,-74.0431435
Nanaimo,80.26,34.06,58.6,87.2,67.48,57.49,Canada,49.1658836,-123.9400647
Brighton,79.57,51.44,66.39,63.41,86.88,74.78,United Kingdom,50.8229402,-0.1362672
Philadelphia,79.19,49.57,65.31,81.67,71.07,115.61,United States,39.9525839,-75.1652215
Los Angeles,79.19,74.48,76.98,75.94,91.73,126.12,United States,34.0522342,-118.2436849
Minneapolis,79.08,47.05,64.07,79.07,78.57,114.68,United States,44.977753,-93.2650108
Birmingham,78.82,28.19,55.09,84.3,75.48,84.93,United States,33.5185892,-86.8103567
Miami,78.0,64.96,71.88,76.72,79.18,93.71,United States,25.7616798,-80.1917902
Sacramento,77.88,50.55,65.07,80.84,70.23,101.43,United States,38.5815719,-121.4943996
Munich,77.52,47.34,63.37,66.77,76.82,95.16,Germany,48.1351253,11.5819806
St. John's,77.4,21.57,51.23,77.91,77.37,62.75,Canada,47.5615096,-52.7125768
Charleston,77.26,48.61,63.83,77.13,78.68,121.26,United States,32.7764749,-79.93105120000001
Asheville,77.25,45.36,62.3,85.59,71.12,94.16,United States,35.5950581,-82.5514869
Lyon,77.21,31.45,55.76,76.04,71.34,82.65,France,45.764043,4.835659
Chicago,77.06,57.25,67.77,73.3,76.34,135.26,United States,41.8781136,-87.6297982
