City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Country,Lat,Lng
London,85.62,76.51,81.35,64.08,89.41,88.79,United Kingdom,51.5072178,-0.1275862
Brighton,79.57,51.44,66.39,63.41,86.88,74.78,United Kingdom,50.8229402,-0.1362672
Guildford,76.02,49.12,63.41,66.52,74.95,78.75,United Kingdom,51.23622,-0.570409
Oxford,75.68,49.17,63.25,65.9,75.45,104.03,United Kingdom,51.7520209,-1.2577263
Lincoln,75.6,22.24,50.59,60.86,90.13,88.99,United Kingdom,53.2294565,-0.5426827
York,75.52,34.08,56.1,62.37,80.71,73.46,United Kingdom,53.9614205,-1.0739108
Reading,75.27,41.7,59.53,63.44,85.76,100.89,United Kingdom,51.45512009999999,-0.9787475
Edinburgh,73.15,37.38,56.38,59.68,84.71,88.03,United Kingdom,55.953252,-3.188267
Milton Keynes,73.14,37.65,56.5,60.6,73.63,73.92,United Kingdom,52.0406224,-0.7594171
Manchester,73.14,34.94,55.23,60.14,87.5,91.33,United Kingdom,53.4807593,-2.2426305
Cambridge,73.05,46.16,60.44,60.4,83.11,92.85,United Kingdom,52.1950788,0.1312729
Derby,72.57,21.68,48.71,58.01,80.36,119.81,United Kingdom,52.9225301,-1.4746186
Liverpool,71.39,26.18,50.19,56.4,86.7,90.09,United Kingdom,53.4083714,-2.9915726
Nottingham,71.34,26.73,50.43,65.7,70.68,91.62,United Kingdom,52.9540223,-1.1549892
Bristol,71.32,40.45,56.85,56.75,83.16,84.81,United Kingdom,51.454513,-2.58791
Portsmouth,71.16,30.52,52.11,62.31,78.14,85.02,United Kingdom,50.8197675,-1.0879769
Plymouth,70.7,24.61,49.1,58.0,73.68,84.01,United Kingdom,50.3754565,-4.1426565
Norwich,70.06,26.85,49.81,62.4,73.92,79.66,United Kingdom,52.6292567,1.2978802
Exeter,69.9,31.96,52.11,54.86,74.18,93.92,United Kingdom,50.72603669999999,-3.5274889
Cardiff,68.91,29.64,50.51,56.87,76.53,106.17,United Kingdom,51.483707,-3.1680962
Glasgow,68.76,28.82,50.04,55.63,77.95,96.42,United Kingdom,55.864237,-4.251806
Southampton,67.59,32.4,51.09,55.69,69.59,98.44,United Kingdom,50.9105468,-1.4049018
Leeds,67.57,30.47,50.18,56.17,75.71,88.49,United Kingdom,53.8007554,-1.5490774
Birmingham,67.25,33.1,51.24,55.36,68.91,81.78,United Kingdom,52.48624299999999,-1.890401
Coventry,66.94,28.91,49.11,58.06,63.75,108.7,United Kingdom,52.4128163,-1.5089521
Newcastle upon Tyne,66.86,25.72,47.57,56.08,71.13,97.66,United Kingdom,54.978252,-1.61778
Stoke-on-Trent,66.58,17.51,43.58,52.76,73.8,97.94,United Kingdom,53.0033369,-2.1827408
Dundee,66.46,23.27,46.22,56.19,73.5,82.43,United Kingdom,56.462018,-2.970721
Sheffield,65.88,26.92,47.62,57.43,63.83,89.07,United Kingdom,53.38112899999999,-1.470085
Belfast,65.74,26.12,47.17,57.73,74.02,91.62,United Kingdom,54.59728500000001,-5.93012
Leicester,64.91,24.93,46.17,52.47,72.19,92.59,United Kingdom,52.6368778,-1.1397592
Bournemouth,63.73,32.77,49.21,48.72,68.9,76.52,United Kingdom,50.7220101,-1.8667169
Aberdeen,63.4,23.06,44.49,47.87,77.47,102.02,United Kingdom,57.1498891,-2.0937528
Kingston upon Hull,62.07,21.79,43.19,52.73,63.89,86.57,United Kingdom,53.76762360000001,-0.3274198
